dates,Z,ZDR,CC
2022-11-18 18:02:39.473000,-9.5,-2.40625,0.68833333
2022-11-18 18:08:55.323000,-4.0,1.65625,0.88166666
2022-11-18 18:15:26.142000,9.0,1.21875,0.99833333
2022-11-18 18:22:25.847000,-1.5,0.8125,1.0516666
2022-11-18 18:28:56.705000,-9.5,-2.625,0.27833334
2022-11-18 18:35:27.403000,--,--,--
2022-11-18 18:41:58.376000,-5.0,11.40625,1.0516666
2022-11-18 18:48:44.017000,8.0,0.0,0.98833334
2022-11-18 18:55:29.757000,23.0,-0.09375,0.995
2022-11-18 19:02:29.442000,12.5,0.65625,0.9716667
2022-11-18 19:09:29.105000,12.0,-0.25,0.9816667
2022-11-18 19:16:28.981000,19.0,-0.3125,0.985
2022-11-18 19:23:14.794000,27.5,-0.0625,0.995
2022-11-18 19:29:45.446000,18.5,-0.0625,0.9916667
2022-11-18 19:36:16.362000,18.0,-0.34375,0.99833333
2022-11-18 19:42:47.216000,30.5,-0.1875,0.99833333
2022-11-18 19:49:31.909000,14.0,0.40625,0.985
2022-11-18 19:56:31.640000,19.5,-0.78125,0.98833334
2022-11-18 20:04:12.794000,29.0,-0.375,0.9916667
2022-11-18 20:10:44.146000,27.0,0.0625,0.9916667
2022-11-18 20:16:59.984000,23.0,0.03125,0.9916667
2022-11-18 20:23:16.792000,24.5,0.15625,0.995
2022-11-18 20:29:18.576000,26.5,-0.125,0.99833333
2022-11-18 20:35:20.222000,21.0,-0.4375,0.98833334
2022-11-18 20:41:37.238000,23.5,0.03125,0.9916667
2022-11-18 20:48:07.978000,19.5,0.0,0.995
2022-11-18 20:54:23.897000,17.5,-0.03125,0.9683333
2022-11-18 21:00:54.506000,20.0,-0.28125,0.985
2022-11-18 21:07:25.372000,24.0,0.25,0.9816667
2022-11-18 21:13:56.075000,30.0,-0.03125,0.9916667
2022-11-18 21:20:27.971000,25.0,-0.3125,0.9916667
2022-11-18 21:26:44.855000,27.5,-0.4375,0.995
2022-11-18 21:33:01.549000,27.5,0.09375,0.975
2022-11-18 21:39:32.431000,26.5,-0.09375,0.995
2022-11-18 21:45:49.311000,28.5,-0.59375,0.995
2022-11-18 21:52:19.784000,24.5,0.0,0.9916667
2022-11-18 21:58:35.555000,28.0,-0.3125,0.995
2022-11-18 22:04:52.327000,29.0,-0.15625,0.995
2022-11-18 22:11:09.286000,21.5,-0.1875,0.985
2022-11-18 22:17:12.165000,21.5,0.34375,0.995
2022-11-18 22:23:13.761000,25.0,0.0625,0.9916667
2022-11-18 22:29:15.681000,26.5,0.0,0.995
2022-11-18 22:35:18.635000,29.5,0.03125,0.995
2022-11-18 22:41:20.358000,23.5,0.53125,0.9916667
2022-11-18 22:47:23.065000,26.5,0.1875,0.98833334
2022-11-18 22:53:38.883000,29.0,-0.5,0.995
2022-11-18 22:59:40.824000,23.5,0.3125,0.9916667
2022-11-18 23:05:42.511000,26.0,-0.1875,0.9916667
2022-11-18 23:11:45.366000,27.0,-0.59375,0.995
2022-11-18 23:17:47.049000,26.0,-0.3125,0.995
2022-11-18 23:23:34.822000,26.5,-0.25,0.995
2022-11-18 23:29:22.656000,32.5,-0.0625,0.995
2022-11-18 23:35:10.233000,36.0,-0.125,0.9916667
2022-11-18 23:41:12.244000,21.0,0.375,0.985
2022-11-18 23:47:29.135000,25.0,0.125,0.9916667
2022-11-18 23:53:31.014000,23.5,-0.21875,0.9916667
2022-11-18 23:59:32.469000,25.0,0.03125,0.9816667
